Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed,Elevation
01AD012,SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS,QC,Discontinued,47.72472,-69.28333,1967,1968,58.6,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,267
01AD014,POHENEGAMOOK (LAC) A ESTCOURT,QC,Discontinued,47.46,-69.22556,1968,1982,389,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,211.5386810303
01AE001,FISH RIVER NEAR FORT KENT,NB,Active,47.2375,-68.58278,1903,2018,2260,,N,Flow,Continuous,N,N,N,INTERNATIONAL BOUNDARY COMMISSION DATUM,DARTMOUTH,UNITED STATES GEOLOGICAL SURVEY,Y,162.1671142578
01AF002,SAINT JOHN RIVER AT GRAND FALLS,NB,Active,47.03889,-67.73972,1930,2018,21900,,R,Flow and Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,106.6599273682
01AF003,GREEN RIVER NEAR RIVIERE-VERTE,NB,Discontinued,47.335,-68.135,1962,1993,1150,,R,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,137.5836029053
01AF004,SAINT JOHN RIVER AT GRAND FALLS (LOWER BASIN),NB,Discontinued,47.04,-67.74167,1923,1925,,,N,Level,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,137.1410064697
01AF005,SAINT JOHN RIVER AT GRAND FALLS (UPPER BASIN),NB,Discontinued,47.05111,-67.74139,1923,1926,,,N,Level,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,126
01AF006,BLACK BROOK NEAR ST-ANDRE-DE-MADAWASKA,NB,Discontinued,47.09139,-67.73139,1972,1974,14.2,,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,DARTMOUTH,,N,175.727432251
01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,NB,Active,47.24697,-67.92128,1977,2018,339,,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,DARTMOUTH,,N,146.9908294678
01AF008,SAINT JOHN RIVER AT THE FALLS AT GRAND FALLS,NB,Discontinued,47.05139,-67.73861,1986,1988,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,113.6281356812
01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,NB,Active,47.45783,-68.35683,1991,2018,182,,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,164.6034698486
01AF010,GREEN RIVER AT DEUXIEME SAULT,NB,Discontinued,47.47056,-68.23556,1993,2010,1030,,R,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,CITY OF EDMUNSTON,Y,199
01AF011,LITTLE RIVER NEAR GRAND FALLS,NB,Discontinued,47.07194,-67.70778,1996,1998,380,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,153.3758850098
01AFG03,DRUMMOND GROUNDWATER AT DRUMMOND,NB,Discontinued,47.0775,-67.64167,2003,2009,,,,Level,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,241
01AG001,AROOSTOOK RIVER ABOVE HALEY ISLAND,NB,Discontinued,46.82333,-67.91361,1966,1975,5850,,R,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,110.0843505859
01AG002,LIMESTONE STREAM AT FOUR FALLS,NB,Discontinued,46.82833,-67.74306,1967,1994,199,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,106.4394607544
01AG003,AROOSTOOK RIVER NEAR TINKER,NB,Active,46.81636,-67.75197,1975,2018,6060,,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,79.1044540405
01AH001,TOBIQUE RIVER AT ARTHURETTE,NB,Discontinued,46.79667,-67.48139,1918,1933,4140,,N,Flow,Continuous,N,N,N,,DARTMOUTH,,N,99
01AH002,TOBIQUE RIVER AT RILEY BROOK,NB,Active,47.17303,-67.21081,1961,2018,2230,,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,156.4462890625
01AH003,TOBIQUE RIVER AT PLASTER ROCK,NB,Discontinued,46.905,-67.395,1954,1995,3130,,R,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,133.6533355713
01AH004,TOBIQUE RIVER AT NARROWS,NB,Discontinued,46.79167,-67.68333,1953,2000,4330,,R,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,NEW BRUNSWICK ELECTRIC POWER COMMISSION,Y,102.0690078735
01AH005,MAMOZEKEL RIVER NEAR CAMPBELL RIVER,NB,Discontinued,47.25083,-67.14222,1972,1990,230,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,195.9634246826
01AJ001,SAINT JOHN RIVER NEAR EAST FLORENCEVILLE,NB,Discontinued,46.47,-67.58972,1951,1995,34200,,R,Flow,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,56.0550956726
01AJ002,SAINT JOHN RIVER AT WOODSTOCK,NB,Discontinued,46.15639,-67.57361,1962,1967,,,R,Level,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,NEW BRUNSWICK ELECTRIC POWER COMMISSION,Y,67.1816253662
01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,NB,Active,46.21622,-67.72794,1967,2018,1210,,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,59.702911377
01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,NB,Active,46.43836,-67.73844,1967,2018,484,,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,DARTMOUTH,,N,92.328086853
01AJ005,SAINT JOHN RIVER AT HARTLAND,NB,Discontinued,46.30611,-67.5325,1969,1979,,,R,Level,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,46
01AJ006,HOLMES BROOK AT MOOSE MOUNTAIN,NB,Discontinued,46.61278,-67.61056,1971,1974,7.77,,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,DARTMOUTH,,N,183.1317596436
01AJ007,HOLMES BROOK NEAR HOLMESVILLE,NB,Discontinued,46.57611,-67.59528,1972,1979,31.3,,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,DARTMOUTH,,N,130.0337982178
01AJ008,SAINT JOHN RIVER AT HARTLAND SALMON POOL,NB,Discontinued,46.29833,-67.52917,1973,1993,,,R,Level,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,46
01AJ009,SAINT JOHN RIVER AT SIMONDS,NB,Discontinued,46.3375,-67.55528,1974,1995,35000,,R,Flow and Level,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,52
01AJ010,BECAGUIMEC STREAM AT COLDSTREAM,NB,Active,46.34089,-67.46511,1973,2018,350,,N,Flow and Level,Continuous,Y,Y,Y,ASSUMED DATUM,DARTMOUTH,,N,73.1880569458
01AJ011,COLD STREAM AT COLDSTREAM,NB,Discontinued,46.34222,-67.46917,1973,1993,156,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,85.6117858887
01AJ012,SAINT JOHN RIVER AT BEECHWOOD GENERATING STATION,NB,Discontinued,46.54,-67.67111,1995,2000,33700,,R,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,NEW BRUNSWICK ELECTRIC POWER COMMISSION,Y,94.9133224487
01AJ013,LITTLE PRESQUE ISLE STREAM NEAR WATERVILLE,NB,Discontinued,46.27222,-67.57,1996,1998,130,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,127.2204437256
01AJQ03,MEDUXNEKEAG RIVER AT BELLEVILLE WQ,NB,Active,46.21622,-67.72794,2018,2018,1210,,,,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,59.702911377
01AK001,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,NB,Active,45.94353,-67.32036,1918,2018,234,,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,DARTMOUTH,,N,81.4788513184
01AK002,SAINT JOHN RIVER AT POKIOK,NB,Discontinued,45.96667,-67.24167,1918,1967,38900,,R,Flow,Continuous,N,N,N,,DARTMOUTH,,N,45
01AK003,SAINT JOHN RIVER AT FREDERICTON,NB,Active,45.96619,-66.65161,1929,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,6.3909878731
01AK004,SAINT JOHN RIVER BELOW MACTAQUAC,NB,Discontinued,45.96222,-66.83083,1961,1995,39900,,R,Flow and Level,Continuous,Y,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,25.3733959198
01AK005,MIDDLE BRANCH NASHWAAKSIS STREAM NEAR ROYAL ROAD,NB,Discontinued,46.035,-66.70139,1965,1993,26.9,,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,DARTMOUTH,,N,54.2821350098
01AK006,MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM,NB,Active,46.08281,-66.73303,1966,2018,5.7,,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,158.8254394531
01AK007,NACKAWIC STREAM NEAR TEMPERANCE VALE,NB,Active,46.04878,-67.23961,1967,2018,240,,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,60.5373764038
01AK008,EEL RIVER NEAR SCOTT SIDING,NB,Discontinued,45.93667,-67.54694,1974,1992,531,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,94.8977050781
01AK009,SAINT JOHN RIVER AT MACTAQUAC GENERATING STATION,NB,Discontinued,45.95667,-66.86472,1980,1993,,,R,Level,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,16.6906661987
01AKG01,ROYAL ROAD GROUNDWATER ON ROYAL ROAD,NB,Active,46.05639,-66.71111,1981,2018,,,,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,119.3826599121
01AKG03,LAKE GEORGE GROUNDWATER AT LAKE GEORGE,NB,Active,45.84403,-67.02483,2003,2018,,,,Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,182
01AL001,NASHWAAK RIVER AT PENNIAC,NB,Discontinued,46.00917,-66.58306,1982,1984,1660,,,Level,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,5.149263382
01AL002,NASHWAAK RIVER AT DURHAM BRIDGE,NB,Active,46.12592,-66.61131,1961,2018,1450,,N,Flow and Level,Continuous,Y,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,16.9540882111
01AL003,HAYDEN BROOK NEAR NARROWS MOUNTAIN,NB,Discontinued,46.29889,-67.03694,1970,1993,6.48,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,200.4850463867
01AL004,NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN,NB,Active,46.27717,-67.02139,1972,2018,3.89,,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,DARTMOUTH,,N,209.9942626953
01AL005,"NARROWS MOUNTAIN BROOK, BRANCH NO.1, NEAR NARROWS MOUNTAIN",NB,Discontinued,46.27694,-67.04361,1977,1980,0.8,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,259.7146606445
01AL006,"NARROWS MOUNTAIN BROOK, BRANCH NO.2, NEAR NARROWS MOUNTAIN",NB,Discontinued,46.27694,-67.04333,1977,1980,0.91,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,258.7146606445
01AL007,"NARROWS MOUNTAIN BROOK, BRANCH NO.3, NEAR NARROWS MOUNTAIN",NB,Discontinued,46.27944,-67.03639,1977,1980,0.41,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,261
01AL008,NASHWAAK RIVER AT STANLEY,NB,Discontinued,46.28306,-66.7375,1982,1995,641,,N,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,80
01AL009,NASHWAAK RIVER AT NASHWAAK BRIDGE,NB,Discontinued,46.24056,-66.61278,1982,1984,,,,Level,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,36
01AL010,NASHWAAK RIVER AT TAYMOUTH,NB,Discontinued,46.18278,-66.61944,1982,1984,,,,Level,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,44.3857917786
01AM001,NORTH BRANCH OROMOCTO RIVER AT TRACY,NB,Active,45.67378,-66.68289,1962,2018,557,,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,19.8901157379
01AM002,OROMOCTO RIVER NEAR FRENCH LAKE,NB,Discontinued,45.76639,-66.55056,1974,1974,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,1
01AMG01,NEW MARYLAND GROUNDWATER AT VICTORIA PARK,NB,Active,45.89111,-66.68889,1979,2018,,,,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,123.6222686768
01AN001,CASTAWAY STREAM NEAR CASTAWAY,NB,Discontinued,46.29833,-65.71194,1972,1992,34.4,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,20.5910835266
01AN002,SALMON RIVER AT CASTAWAY,NB,Active,46.29072,-65.72275,1974,2018,1050,,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,16
01AO001,SAINT JOHN RIVER AT OROMOCTO,NB,Discontinued,45.85556,-66.47222,1921,1949,,,N,Level,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,1
01AO002,SAINT JOHN RIVER AT MAUGERVILLE,NB,Active,45.86647,-66.45317,1978,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,17.8100681305
01AO003,GRAND LAKE AT NEWCASTLE CREEK,NB,Active,46.0564,-66.0057,1968,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,2
01AO004,JEMSEG RIVER AT JEMSEG,NB,Active,45.82892,-66.11542,1971,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,1.3424319029
01AO005,PORTOBELLO STREAM UPSTREAM OF BURNS BRIDGE,NB,Discontinued,45.89944,-66.42972,1974,1974,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,3.9353318214
01AO006,PORTOBELLO STREAM DOWNSTREAM OF BURNS BRIDGE,NB,Discontinued,45.89944,-66.42778,1974,1974,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,8.8992328644
01AO007,FRENCH LAKE ABOVE LAKEVILLE CORNER BRIDGE,NB,Discontinued,45.90167,-66.25833,1974,1974,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,1
01AO008,MAQUAPIT LAKE BELOW LAKEVILLE CORNER BRIDGE,NB,Discontinued,45.90167,-66.25694,1974,1974,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,1
01AO009,BURPEE MILLSTREAM NEAR FERNMOUNT,NB,Discontinued,45.95667,-66.31139,1976,1993,93.2,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,39.7215957642
01AO010,FRENCH LAKE AT LAKEVILLE CORNER,NB,Active,45.90883,-66.25644,1980,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,5.4422502518
01AO011,SAINT JOHN RIVER AT UPPER GAGETOWN,NB,Active,45.84725,-66.23486,1994,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,1
01AO012,SAINT JOHN RIVER AT GAGETOWN,NB,Active,45.76867,-66.14036,1994,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,3.4005155563
01AP001,KENNEBECASIS RIVER AT NORTON,NB,Discontinued,45.63583,-65.70167,1920,1926,1210,,N,Flow,Continuous,N,N,N,,DARTMOUTH,,N,7
01AP002,CANAAN RIVER AT EAST CANAAN,NB,Active,46.07236,-65.36639,1925,2018,668,,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,DARTMOUTH,,N,17
01AP003,SAINT JOHN RIVER AT OAK POINT,NB,Active,45.51942,-66.07661,1923,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,1
01AP004,KENNEBECASIS RIVER AT APOHAQUI,NB,Active,45.70139,-65.60169,1961,2018,1100,,N,Flow and Level,Continuous,Y,Y,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,6.8928923607
01AP005,SAINT JOHN RIVER AT SAINT JOHN,NB,Active,45.27339,-66.08889,1972,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,1
01AP006,NEREPIS RIVER NEAR FOWLERS CORNER,NB,Active,45.50344,-66.31897,1976,2018,293,,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,25.9678325653
01AP008,KENNEBECASIS RIVER BELOW NORTON,NB,Discontinued,45.62306,-65.71528,1982,1984,,,,Level,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT,Y,11.2524518967
01AP009,PARLEE BROOK BELOW ARNOLDS BRIDGE,NB,Discontinued,45.6725,-65.41833,1989,1992,35.4,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,76.6381530762
01AP010,OTNABOG STREAM ABOVE OTNABOG LAKE,NB,Discontinued,45.7055,-66.192,2009,2012,,,N,Level,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,23.8411178589
01APG02,SMITH CREEK GROUNDWATER ON ROUTE 890 NEAR SMITH CREEK,NB,Active,45.79556,-65.47944,2003,2018,,,,Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,27.709104538
01AQ001,LEPREAU RIVER AT LEPREAU,NB,Active,45.16978,-66.46828,1918,2018,239,,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,DARTMOUTH,,N,15
01AQ002,MAGAGUADAVIC RIVER AT ELMCROFT,NB,Active,45.27333,-66.80667,1919,2018,1420,,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,DARTMOUTH,,N,27
01AQ003,WEST MUSQUASH RIVER AT MUSQUASH,NB,Discontinued,45.18806,-66.35167,1929,1934,210,,R,Flow,Continuous,N,N,N,,DARTMOUTH,NEW BRUNSWICK ELECTRIC POWER COMMISSION,Y,40.4480171204
01AQ004,EAST MUSQUASH RIVER AT MUSQUASH,NB,Discontinued,45.20472,-66.32611,1929,1934,179,,R,Flow,Continuous,N,N,N,,DARTMOUTH,NEW BRUNSWICK ELECTRIC POWER COMMISSION,Y,17.1551990509
01AQ005,MAGAGUADAVIC RIVER AT SECOND FALLS,NB,Discontinued,45.23167,-66.84333,1928,1933,1540,,R,Flow,Continuous,N,N,N,,DARTMOUTH,,N,29.8044452667
01AQ006,LITTLE LEPREAU RIVER NEAR LEPREAU,NB,Discontinued,45.13917,-66.44833,1976,1976,38.3,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,23.6111240387
01AQ007,MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC,NB,Active,45.71975,-67.18356,1979,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,110.5200424194
01AQ008,PISKAHEGAN STREAM NEAR PLEASANT MOUNTAIN,NB,Discontinued,45.41806,-66.88694,1986,1995,197,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,87.5812759399
01AQ009,LAKE UTOPIA AT CANAL,NB,Discontinued,45.16028,-66.82778,1985,1992,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,13
01AR001,DENNIS STREAM AT MOORES MILLS,NB,Discontinued,45.29278,-67.27222,1919,1920,62.2,,N,Flow,Seasonal,N,N,N,,DARTMOUTH,,N,87.5665969849
01AR002,EEL BROOK NEAR NORTH HEAD,NB,Discontinued,44.79139,-66.78139,1966,1967,2.85,,N,Flow,Miscellaneous,N,N,N,,DARTMOUTH,,N,61.582408905
01AR003,ST. CROIX RIVER NEAR BAILEYVILLE,NB,Discontinued,45.26528,-67.47667,1919,1983,3420,,R,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,68.7952346802
01AR004,ST. CROIX RIVER AT VANCEBORO,NB,Active,45.56889,-67.42972,1928,2018,1080,,R,Flow,Continuous,N,N,N,INTERNATIONAL BOUNDARY COMMISSION DATUM,DARTMOUTH,UNITED STATES GEOLOGICAL SURVEY,Y,127.0512466431
01AR005,ST. CROIX RIVER AT BARING,NB,Active,45.13667,-67.31806,1959,2018,3550,,R,Flow,Continuous,N,N,N,INTERNATIONAL BOUNDARY COMMISSION DATUM,DARTMOUTH,UNITED STATES GEOLOGICAL SURVEY,Y,25.0169868469
01AR006,DENNIS STREAM NEAR ST. STEPHEN,NB,Active,45.20972,-67.2625,1966,2018,115,,R,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,DARTMOUTH,,N,14.4429159164
01AR007,BOCABEC RIVER AT OUTLET OF KERR LAKE,NB,Discontinued,45.2075,-67.01944,1968,1968,12.4,,N,Flow,Seasonal,N,N,N,,DARTMOUTH,,N,60.7751121521
01AR008,BOCABEC RIVER ABOVE TIDE,NB,Discontinued,45.19306,-66.99889,1967,1979,43,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,DARTMOUTH,,N,9.2829866409
01AR009,GRAND LAKE AT FOREST CITY,NB,Active,45.66489,-67.73589,1969,2018,,,R,Level,Continuous,N,N,Y,INTERNATIONAL BOUNDARY COMMISSION DATUM,DARTMOUTH,,N,131.9941253662
01AR010,SPEDNIC LAKE AT ST. CROIX,NB,Active,45.56922,-67.42725,1969,2018,,,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,117.2682113647
01AR011,FOREST CITY STREAM BELOW FOREST CITY DAM,NB,Active,45.66417,-67.73356,1969,2018,357,,R,Flow and Level,Continuous,N,N,Y,INTERNATIONAL BOUNDARY COMMISSION DATUM,DARTMOUTH,,N,142.9082183838
